id;template_code;type;language;subject;body_template;sms_template;push_title;push_body;active;created_at;updated_at
1;inasmuch switch;PASSWORD_RESET;an hundred;admonish duh;after insistent;colorfully;matter;off;false;2025-11-25T02:59:06;2025-11-24T18:09:46
2;rebuild;TRANSACTION_SENT;yippee investigate;lest kiddingly ha;culture;terrorise bashfully;yet;incidentally evenly indeed;false;2025-11-24T16:17:14;2025-11-24T19:13:28
3;hippodrome;LOW_BALANCE;whose mealy;reword lampoon yet;unlike gadzooks;railway nougat through;although busily scaly;gracious cow absent;true;2025-11-24T18:55:44;2025-11-24T15:38:11
4;sadly boohoo consequently;LOW_BALANCE;toaster charming;draw seal meanwhile;since kissingly monasticism;punctuation successfully;admonish joyfully;biodegradable;false;2025-11-25T13:31:15;2025-11-24T16:01:23
5;coaxingly communicate;TRANSACTION_SENT;vice;governance although geez;since storyboard;after;ew masterpiece finer;as;false;2025-11-24T19:54:56;2025-11-25T07:45:24
6;ack manage;TRANSACTION_RECEIVED;who;gadzooks;crossly;breakable petty because;depend instead;per;true;2025-11-25T00:40:26;2025-11-25T10:41:35
7;starch experienced fess;LOW_BALANCE;however solemnly highlight;uniform though sans;unripe schnitzel;retention direct dearly;convoke volleyball inside;barring gently duh;true;2025-11-25T03:39:40;2025-11-25T07:38:06
8;lest geez guilty;FAILED_TRANSACTION;considering corner surface;uncork whenever;sans of;pfft fatally bench;as tensely;of synergy;true;2025-11-24T23:13:25;2025-11-24T16:20:16
9;that prejudge;PASSWORD_RESET;white subdued;absent deserted;excepting;gee abaft ack;extroverted of;of;false;2025-11-25T05:28:09;2025-11-24T16:35:45
10;oh formal;SECURITY_ALERT;skeleton;ignorant;polyester object next;duh reach cutover;splendid bah;keenly;true;2025-11-25T07:37:13;2025-11-24T20:26:36
